BirdID,BTO,RingYear,LastSeenYea,BTOcount
1306,N021859,1998,1999,1
1305,N021858,1998,2009,1
1304,N021857,1998,2000,1
1303,N021856,1998,1998,1
1302,N021855,1998,1998,1
1301,N021854,1998,1998,1
1300,N021853,1998,1998,1
1299,N021852,1998,1998,1
1298,N021851,1998,1998,1
1297,N021850,1998,1998,1
1296,N021849,1998,1998,1
1295,N021848,1998,1998,1
1294,N021847,1998,1998,1
1293,N021846,1998,1998,1
1292,N021845,1998,1998,1
1291,N021844,1998,1998,1
1290,N021843,1998,2000,1
1289,N021842,1998,1998,1
1288,N021841,1998,1998,1
1287,N021840,1998,2005,1
1286,N021839,1998,2001,1
1285,N021838,1998,1998,1
1284,N021837,1998,1999,1
1283,N021836,1998,1999,1
1282,N021835,1998,1998,1
1281,N021834,1998,1999,1
1280,N021833,1998,1998,1
1279,N021832,1998,2000,1
1278,N021831,1998,1999,1
1277,N021830,1998,1998,1
1276,N021829,1998,2007,1
1275,N021828,1998,2005,1
1274,N021827,1998,2000,1
1273,N021826,1998,1998,1
1272,N021825,1998,2006,1
1271,N021824,1998,2005,1
1270,N021823,1998,1998,1
1269,N021822,1998,1998,1
1268,N021821,1998,2003,1
1267,N021820,1998,1998,1
1266,N021819,1997,1998,1
1265,N021818,1997,1997,1
1264,N021817,1997,1998,1
1263,N021816,1997,1997,1
1262,N021815,1998,1999,1
1261,N021814,1997,1997,1
1260,N021813,1997,1997,1
1259,N021812,1997,1998,1
1258,N021811,1997,1998,1
1257,N021810,1997,1997,1
1256,N021809,1997,1998,1
1255,N021808,1997,1997,1
1254,N021807,1997,1997,1
1253,N021806,1997,1997,1
1252,N021805,1997,1998,1
1251,N021803,1997,2009,1
1250,N021802,1997,1997,1
1249,N021801,1997,1997,1
1248,N021800,1998,1998,1
1247,N021799,1998,2004,1
1246,N021798,1998,1999,1
1245,N021797,1998,1998,1
1244,N021796,1997,2008,1
1243,N021795,1997,2000,1
1242,N021794,1997,1998,1
1241,N021793,1997,1998,1
1240,N021792,1997,1997,1
1239,N021790,1997,1997,1
1238,N021789,1997,1997,1
1237,N021788,1997,1997,1
1236,N021787,1997,1997,1
1235,N021786,1997,1998,1
1234,N021785,1997,2000,1
1233,N021784,1997,1997,1
1232,N021783,1997,1997,1
1231,N021782,1997,1998,1
1230,N021781,1997,1998,1
1229,N021780,1997,1998,1
1228,N021779,1997,1997,1
1227,N021778,1997,1999,1
1226,N021777,1997,1997,1
1225,N021776,1997,1998,1
1224,N021775,1997,1998,1
1223,N021774,1997,1998,1
1222,N021773,1997,2004,1
1221,N021772,1997,2004,1
1220,N021771,1997,1997,1
1219,N021770,1997,1998,1
1218,N021769,1997,2013,1
1217,N021768,1997,1998,1
1216,N021767,1997,1998,1
1215,N021766,1997,1999,1
1214,N021765,1997,2006,1
1213,N021764,1997,2005,1
1212,N021763,1997,1999,1
1211,N021762,1997,1998,1
1210,N021761,1997,1997,1
1209,N021760,1997,2004,1
1208,N021759,1997,1997,1
1207,N021758,1997,1997,1
1206,N021757,1997,1998,1
1205,N021756,1997,2001,1
1204,N021755,1997,1997,1
1203,N021754,1997,1999,1
1202,N021753,1997,1998,1
1201,N021752,1997,1998,1
1200,N021751,1997,2006,1
1199,N021750,1997,2008,1
1198,N021749,1997,2000,1
1197,N021748,1997,1998,1
1196,N021747,1997,2009,1
1195,N021746,1997,2010,1
1194,N021745,1997,1998,1
1193,N021744,1997,2007,1
1192,N021743,1997,1997,1
1191,N021742,1997,2001,1
1190,N021741,1997,2004,1
1189,N021740,1997,1998,1
1188,N021739,1997,2010,1
1187,N021738,1997,2010,1
1186,N021737,1997,2002,1
1185,N021736,1997,2000,1
1184,N021735,1997,2001,1
1183,N021734,1997,1997,1
1182,N021733,1997,1998,1
1181,N021732,1997,1998,1
961,K278151,1996,1999,1
960,K278150,1996,1998,1
959,K278149,1996,1999,1
958,K278148,1996,1997,1
957,K278147,1996,1997,1
956,K278146,1996,1997,1
955,K278145,1996,1996,1
954,K278144,1996,1996,1
953,K278143,1996,1999,1
952,K278142,1996,1996,1
951,K278141,1996,2002,1
950,K278140,1996,1996,1
949,K278139,1995,2005,1
948,K278138,1995,1995,1
